tc,title,url,content,
Functions for SCALARs or strings,chomp,https://perldoc.perl.org/5.32.0/functions/chomp.html,--remove-a-trailing-record-separator-from-a-string,
Functions for SCALARs or strings,chop,https://perldoc.perl.org/5.32.0/functions/chop.html,--remove-the-last-character-from-a-string,
Functions for SCALARs or strings,chr,https://perldoc.perl.org/5.32.0/functions/chr.html,--get-character-this-number-represents,
Functions for SCALARs or strings,crypt,https://perldoc.perl.org/5.32.0/functions/crypt.html,=--one-way-passwd-style-encryption,
Functions for SCALARs or strings,fc,https://perldoc.perl.org/5.32.0/functions/fc.html,=--return-casefolded-version-of-a-string,2020.8.24
Functions for SCALARs or strings,hex,https://perldoc.perl.org/5.32.0/functions/hex.html,=--convert-a-hexadecimal-string-to-a-number,
Functions for SCALARs or strings,index,https://perldoc.perl.org/5.32.0/functions/index.html,=--find-a-substring-within-a-string,
Functions for SCALARs or strings,lc,https://perldoc.perl.org/5.32.0/functions/lc.html,=--return-lower-case-version-of-a-string,
Functions for SCALARs or strings,lcfirst,https://perldoc.perl.org/5.32.0/functions/lcfirst.html,=--return-a-string-with-just-the-next-letter-in-lower-case,
Functions for SCALARs or strings,length,https://perldoc.perl.org/5.32.0/functions/length.html,=--return-the-number-of-characters-in-a-string,
Functions for SCALARs or strings,oct,https://perldoc.perl.org/5.32.0/functions/oct.html,=--convert-a-string-to-an-octal-number,
Functions for SCALARs or strings,ord,https://perldoc.perl.org/5.32.0/functions/ord.html,--find-a-character's-numeric-representation,
Functions for SCALARs or strings,pack,https://perldoc.perl.org/5.32.0/functions/pack.html,=--convert-a-list-into-a-binary-representation,
Functions for SCALARs or strings,q/STRING/,https://perldoc.perl.org/5.32.0/functions/q.html,=--singly-quote-a-string,
Functions for SCALARs or strings,qq/STRING/,https://perldoc.perl.org/5.32.0/functions/qq.html,=--doubly-quote-a-string,
Functions for SCALARs or strings,reverse,https://perldoc.perl.org/5.32.0/functions/reverse.html,=--flip-a-string-or-a-list,
Functions for SCALARs or strings,rindex,https://perldoc.perl.org/5.32.0/functions/rindex.html,=--right-to-left-substring-search,
Functions for SCALARs or strings,sprintf,https://perldoc.perl.org/5.32.0/functions/sprintf.html,=--formatted-print-into-a-string,
Functions for SCALARs or strings,substr,https://perldoc.perl.org/5.32.0/functions/substr.html,=--get-or-alter-a-portion-of-a-string,
Functions for SCALARs or strings,tr///,https://perldoc.perl.org/5.32.0/functions/tr.html,=--transliterate-a-string,
Functions for SCALARs or strings,uc,https://perldoc.perl.org/5.32.0/functions/uc.html,=--return-upper-case-version-of-a-string,
Functions for SCALARs or strings,ucfirst,https://perldoc.perl.org/5.32.0/functions/ucfirst.html,=--return-a-string-with-just-the-next-letter-in-upper-case,
