Miscellaneous functions,"Functions for filehandles, files, or directories",Functions for fixed-length data or records,Low-level socket functions,Numeric functions,Fetching user and group info,Functions for processes and process groups,Keywords related to scoping,Input and output functions,Keywords related to Perl modules,Functions for list data,Keywords related to classes and object-orientation,Functions for real @ARRAYs,Functions for real %HASHes,Regular expressions and pattern matching,Functions for SCALARs or strings,Keywords related to the control flow of your Perl program,System V interprocess communication functions,Fetching network info,Time-related functions
defined,chdir,pack,accept,abs,endgrent,alarm,caller,binmode,do,grep,bless,each,delete,m//,chop,__FILE__,msgctl,endprotoent,gmtime
formline,chmod,read,bind,atan2,endhostent,exec,import,close,import,join,dbmclose,keys,each,pos,chr,__LINE__,msgget,endservent,localtime
lock,chown,syscall,connect,cos,endnetent,fork,local,closedir,no,map,dbmopen,pop,exists,qr/STRING/,crypt,__PACKAGE__,msgrcv,gethostbyaddr,time
prototype,chroot,sysread,getpeername,exp,endpwent,getpgrp,my,dbmclose,package,qw/STRING/,package,push,keys,quotemeta,fc,__SUB__,msgsnd,gethostbyname,times
reset,fcntl,sysseek,getsockname,,getgrent,getppid,our,dbmopen,require,reverse,ref,shift,values,s///,hex,,semctl,gethostent,
scalar,glob,syswrite,getsockopt,,getgrgid,getpriority,package,die,use,sort,tie,splice,,split,index,,semget,getnetbyaddr,
undef,ioctl,unpack,listen,,getgrnam,kill,state,eof,,unpack,tied,unshift,,study,lc,,semop,getnetbyname,
,link,vec,recv,,getlogin,pipe,use,fileno,,,untie,values,,,lcfirst,,shmctl,getnetent,
,lstat,,send,,getpwent,qx/STRING/,,flock,,,use,,,,length,,shmget,getprotobyname,
,mkdir,,setsockopt,,getpwnam,readpipe,,format,,,,,,,oct,,shmread,getprotobynumber,
,open,,shutdown,,getpwuid,setpgrp,,getc,,,,,,,ord,,shmwrite,getprotoent,
,opendir,,socket,,setgrent,setpriority,,print,,,,,,,pack,,,getservbyname,
,readlink,,socketpair,,setpwent,sleep,,printf,,,,,,,q/STRING/,,,getservbyport,
,rename,,,,,system,,read,,,,,,,qq/STRING/,,,getservent,
,rmdir,,,,,times,,readdir,,,,,,,reverse,,,sethostent,
,select,,,,,wait,,readline,,,,,,,rindex,,,setnetent,
,stat,,,,,waitpid,,rewinddir,,,,,,,sprintf,,,setprotoent,
,symlink,,,,,,,say,,,,,,,substr,,,setservent,
,sysopen,,,,,,,seek,,,,,,,tr///,,,,
,umask,,,,,,,seekdir,,,,,,,uc,,,,
,unlink,,,,,,,select,,,,,,,ucfirst,,,,
,utime,,,,,,,syscall,,,,,,,y///,,,,
,,,,,,,,sysread,,,,,,,,,,,
,,,,,,,,sysseek,,,2020.8.24,,,,,,,,
,,,,,,,,syswrite,,,,,,,,,,,
,,,,,,,,tell,,,,,,,,,,,
,,,,,,,,telldir,,,,,,,,,,,
,,,,,,,,truncate,,,,,,,,,,,
,,,,,,,,warn,,,,,,,,,,,
,,,,,,,,write,,,,,,,,,,,
